Entity,Code,Year,4_0_RichestShare
Greece,GRC,2005,26.32610557291233
Greece,GRC,2006,26.72561598866204
Greece,GRC,2007,26.023076107991137
Greece,GRC,2008,26.04849647063879
Greece,GRC,2009,26.0262657818633
Greece,GRC,2010,25.643938020811092
Greece,GRC,2011,25.62671628494248
Greece,GRC,2012,26.62021348740222
Greece,GRC,2013,26.43744364179837
Greece,GRC,2014,26.135933492932562
Greece,GRC,2015,26.23421332560782
Greece,GRC,2016,25.875954113937112
Greece,GRC,2017,25.875508680736033
Greece,GRC,2018,24.87431412739668
Greece,GRC,2019,24.90669069272111
Hungary,HUN,1987,19.00217040880026
Hungary,HUN,1989,21.628846130061
Hungary,HUN,1991,23.82363641486268
Hungary,HUN,1993,24.19461893100969
Hungary,HUN,1994,26.23711820399678
Hungary,HUN,1998,21.910440886402448
Hungary,HUN,1999,23.24817249233415
Hungary,HUN,2000,22.822995347288998
Hungary,HUN,2001,22.11799508450207
Hungary,HUN,2002,22.211550816764237
Hungary,HUN,2003,24.64956852707832
Hungary,HUN,2004,24.19818234861306
Hungary,HUN,2005,23.92807574403126
Hungary,HUN,2006,23.24329007256568
Hungary,HUN,2007,25.33546837458614
Hungary,HUN,2008,22.06016017171934
Hungary,HUN,2009,21.47397551310678
Hungary,HUN,2010,23.099941494789032
Hungary,HUN,2011,23.16473202877331
Hungary,HUN,2012,23.893437200826938
Hungary,HUN,2013,24.430857746459587
Hungary,HUN,2014,24.04285049915963
Hungary,HUN,2015,23.790870548277272
Hungary,HUN,2016,23.81775579853631
Hungary,HUN,2017,23.90395438332365
Hungary,HUN,2018,23.23576149051689
Hungary,HUN,2019,23.33005534347981
Ireland,IRL,1987,27.22671677991463
Ireland,IRL,1994,29.03280850888807
Ireland,IRL,1995,28.63001101875347
Ireland,IRL,1996,27.572493633156757
Ireland,IRL,2000,26.13354047694655
Ireland,IRL,2002,24.96946145055113
Ireland,IRL,2003,25.90540629722521
Ireland,IRL,2004,26.63542208788377
Ireland,IRL,2005,26.95296000893665
Ireland,IRL,2006,25.62715858661459
Ireland,IRL,2007,25.501870816313648
Ireland,IRL,2008,24.57599404299727
Ireland,IRL,2009,25.56203612344631
Ireland,IRL,2010,24.90281794411494
Ireland,IRL,2011,25.50775124278125
Ireland,IRL,2012,25.92612074959899
Ireland,IRL,2013,26.07541363438045
Ireland,IRL,2014,24.92162009389434
Ireland,IRL,2015,25.39732334100746
Ireland,IRL,2016,25.915938761629132
Ireland,IRL,2017,25.37925379658509
Ireland,IRL,2018,25.094724131463668
Italy,ITA,1986,24.695698785814
Italy,ITA,1987,25.4510976565664
Italy,ITA,1989,25.110493227924657
Italy,ITA,1991,24.032816901514682
Italy,ITA,1993,26.17396104125253
Italy,ITA,1995,26.156481219150052
Italy,ITA,1998,27.610878802104438
Italy,ITA,2000,26.35052542944873
Italy,ITA,2003,26.68603465924942
Italy,ITA,2004,26.316559433492593
Italy,ITA,2005,25.48502584175375
Italy,ITA,2006,25.627323559102948
Italy,ITA,2007,24.92321185075908
Italy,ITA,2008,25.67603015087293
Italy,ITA,2009,25.434350759563717
Italy,ITA,2010,26.162743115578653
Italy,ITA,2011,26.397148646317547
Italy,ITA,2012,26.423024476907198
Italy,ITA,2013,25.928011250320694
Italy,ITA,2014,25.533203353823552
Italy,ITA,2015,25.76257214327098
Italy,ITA,2016,25.96119718304333
Italy,ITA,2017,26.661868616535124
Italy,ITA,2018,25.92391200189065
Latvia,LVA,1993,22.06526444777486
Latvia,LVA,1995,25.09462065255701
Latvia,LVA,1996,25.655719000336852
Latvia,LVA,1997,26.65095589806315
Latvia,LVA,1998,26.2163242747483
Latvia,LVA,2002,27.494046133834697
Latvia,LVA,2003,28.46768578120948
Latvia,LVA,2004,26.97202370570541
Latvia,LVA,2005,30.02617625903387
Latvia,LVA,2006,26.79796303918936
Latvia,LVA,2007,27.72072283344721
Latvia,LVA,2008,27.439912431116483
Latvia,LVA,2009,26.70500455096277
Latvia,LVA,2010,26.22928766665464
Latvia,LVA,2011,27.335934115648193
Latvia,LVA,2012,26.565362336975568
Latvia,LVA,2013,26.80876591064889
Latvia,LVA,2014,26.65258686365153
Latvia,LVA,2015,26.16270276699657
Latvia,LVA,2016,25.78619589629812
Latvia,LVA,2017,26.90340488096103
Latvia,LVA,2018,26.897876791161817
Latvia,LVA,2019,26.633006271529418
Lithuania,LTU,1993,27.98935642206068
Lithuania,LTU,1996,25.57901854817701
Lithuania,LTU,1998,25.176552858703822
Lithuania,LTU,1999,25.247183828830437
Lithuania,LTU,2000,24.69502931931569
Lithuania,LTU,2001,24.87122682732961
Lithuania,LTU,2002,24.86745344446517
Lithuania,LTU,2003,27.93741156633523
Lithuania,LTU,2004,27.391145730600456
Lithuania,LTU,2005,27.15994656207435
Lithuania,LTU,2006,26.7830823724256
Lithuania,LTU,2007,26.77042833596321
Lithuania,LTU,2008,28.94966013618106
Lithuania,LTU,2009,27.61228670455862
Lithuania,LTU,2010,24.79036720018532
Lithuania,LTU,2011,24.54349423150746
Lithuania,LTU,2012,26.828860994432407
Lithuania,LTU,2013,27.10732491652303
Lithuania,LTU,2014,28.910699005398687
Lithuania,LTU,2015,28.619515008731938
Lithuania,LTU,2016,29.546153492919608
Lithuania,LTU,2017,28.42622536236376
Lithuania,LTU,2018,27.15116264068621
Lithuania,LTU,2019,27.46221323084535
Luxembourg,LUX,1985,21.53678756372037
Luxembourg,LUX,1991,22.241199614103323
Luxembourg,LUX,1994,21.86445496226565
Luxembourg,LUX,1997,23.78039007771992
Luxembourg,LUX,2000,23.89431906563932
Luxembourg,LUX,2003,23.67495889304819
Luxembourg,LUX,2004,23.72167239321049
Luxembourg,LUX,2005,24.34634415905574
Luxembourg,LUX,2006,24.32713301614031
Luxembourg,LUX,2007,25.056565113487288
Luxembourg,LUX,2008,25.754998053206613
Luxembourg,LUX,2009,24.172105611962618
Luxembourg,LUX,2010,23.72705873931303
Luxembourg,LUX,2011,24.43406923697254
Luxembourg,LUX,2012,26.370885156858392
Luxembourg,LUX,2013,24.23987270080863
Luxembourg,LUX,2014,24.27870521788968
Luxembourg,LUX,2015,25.07038901256787
Luxembourg,LUX,2016,24.11344366941639
Luxembourg,LUX,2017,25.59276863217882
Luxembourg,LUX,2018,26.62727470143765
Luxembourg,LUX,2019,25.830690275949706
Malta,MLT,2006,22.0516823742414
Malta,MLT,2007,22.62769221575341
Malta,MLT,2008,22.483826644371472
Malta,MLT,2009,23.76060781221598
Malta,MLT,2010,22.73481344682816
Malta,MLT,2011,23.203027445570278
Malta,MLT,2012,23.44088817278748
Malta,MLT,2013,23.15389088013908
Malta,MLT,2014,23.305212984776517
Malta,MLT,2015,23.63339986362561
Malta,MLT,2016,23.12002679695683
Malta,MLT,2017,23.330831742370563
Malta,MLT,2018,22.89275895100512
Malta,MLT,2019,24.82670616547231
Netherlands,NLD,1983,22.61043893847678
Netherlands,NLD,1987,21.99305504914617
Netherlands,NLD,1990,24.47900856885742
Netherlands,NLD,1993,22.80390105336022
Netherlands,NLD,1999,21.80609614810887
Netherlands,NLD,2004,23.69930422627062
Netherlands,NLD,2005,23.37640882271766
Netherlands,NLD,2006,24.6986243305866
Netherlands,NLD,2007,24.08458423393072
Netherlands,NLD,2008,23.68434592683813
Netherlands,NLD,2009,22.390563167644963
Netherlands,NLD,2010,22.44527502341834
Netherlands,NLD,2011,22.57789421514586
Netherlands,NLD,2012,22.49829779790521
Netherlands,NLD,2013,22.759900111868482
Netherlands,NLD,2014,23.293742255108
Netherlands,NLD,2015,23.02391858527167
Netherlands,NLD,2016,22.903234126586742
Netherlands,NLD,2017,23.33695900721142
Netherlands,NLD,2018,22.97257019555584
Netherlands,NLD,2019,23.92109957217796
Poland,POL,1985,20.864857226443
Poland,POL,1986,21.8241489837378
Poland,POL,1987,21.15989147318727
Poland,POL,1989,21.59915353365715
Poland,POL,1992,23.21754287851246
Poland,POL,1993,20.9952339249545
Poland,POL,1995,26.561149680839378
Poland,POL,1996,26.48111001547777
Poland,POL,1998,25.88035294819917
Poland,POL,1999,25.823953332554677
Poland,POL,2000,26.08728398046882
Poland,POL,2001,25.754028450778822
Poland,POL,2002,26.72832163639861
Poland,POL,2003,26.99063497812319
Poland,POL,2004,27.00815514029607
Poland,POL,2005,26.96883436769997
Poland,POL,2006,26.358484793735848
Poland,POL,2007,26.454553044696738
Poland,POL,2008,26.72090294742388
Poland,POL,2009,26.58454063070851
Poland,POL,2010,26.19079271881894
Poland,POL,2011,25.850164630224892
Poland,POL,2012,25.62686149930893
Poland,POL,2013,25.62056179994031
Poland,POL,2014,25.18136888126773
Poland,POL,2015,25.05927228386159
Poland,POL,2016,24.61503704958252
Poland,POL,2017,24.29907975466899
Poland,POL,2018,25.117181859693172
Poland,POL,2019,24.52858759892738
Portugal,PRT,2003,30.248646053229823
Portugal,PRT,2004,30.87220462240169
Portugal,PRT,2005,30.57785616162968
Portugal,PRT,2006,29.656079506084172
Portugal,PRT,2007,28.852939717965043
Portugal,PRT,2008,28.93569327788674
Portugal,PRT,2009,27.4636546661443
Portugal,PRT,2010,28.28320658395052
Portugal,PRT,2011,28.67927461443493
Portugal,PRT,2012,27.77004076070838
Portugal,PRT,2013,27.50753290567803
Portugal,PRT,2014,27.40752453549648
Portugal,PRT,2015,27.33475739322726
Portugal,PRT,2016,27.55966856216857
Portugal,PRT,2017,26.66378816026278
Portugal,PRT,2018,26.60528579603233
Portugal,PRT,2019,25.981854331190217
Romania,ROU,1989,19.21183381836178
Romania,ROU,1992,20.19240863343475
Romania,ROU,1994,22.69653104447044
Romania,ROU,1995,24.65465010048625
Romania,ROU,1997,24.384763695444057
Romania,ROU,1998,24.19835128609473
Romania,ROU,1999,23.44004577157571
Romania,ROU,2000,23.30645139933789
Romania,ROU,2001,23.240992019718938
Romania,ROU,2002,23.74836491461058
Romania,ROU,2003,23.705294052495702
Romania,ROU,2004,23.53854864345415
Romania,ROU,2005,23.51752321030638
Romania,ROU,2006,23.87018121319751
Romania,ROU,2007,23.7983179304018
Romania,ROU,2008,23.19537215062682
Romania,ROU,2009,22.11447976267938
Romania,ROU,2010,21.887309130551678
Romania,ROU,2011,21.44033292579753
Romania,ROU,2012,21.46303298879782
Romania,ROU,2013,21.60730698152506
Romania,ROU,2014,24.48580689675823
Romania,ROU,2015,24.76709762070889
Romania,ROU,2016,22.19481340408274
Romania,ROU,2017,24.87317517905704
Romania,ROU,2018,22.58012717604041
Romania,ROU,2019,24.46972112756027
Slovakia,SVK,1992,18.6069925573139
Slovakia,SVK,1996,21.42452528715128
Slovakia,SVK,2004,24.2548291571789
Slovakia,SVK,2005,24.59106565210373
Slovakia,SVK,2006,23.71702985270316
Slovakia,SVK,2007,24.10552427442739
Slovakia,SVK,2008,23.25629630328958
Slovakia,SVK,2009,22.41168556328063
Slovakia,SVK,2010,21.85857929659108
Slovakia,SVK,2011,20.96267966222341
Slovakia,SVK,2012,20.50264690651959
Slovakia,SVK,2013,22.16521182186067
Slovakia,SVK,2014,20.27913675008855
Slovakia,SVK,2015,20.9411636593697
Slovakia,SVK,2016,19.91485936482195
Slovakia,SVK,2017,18.44994053764609
Slovakia,SVK,2018,19.553379023369242
Slovakia,SVK,2019,18.81612408107604
Slovenia,SVN,1987,20.40051079137874
Slovenia,SVN,1993,24.47729334596415
Slovenia,SVN,1997,20.24559284887981
Slovenia,SVN,1998,23.040715387773638
Slovenia,SVN,1999,20.25650048793719
Slovenia,SVN,2002,23.07595077109469
Slovenia,SVN,2003,23.74419439253039
Slovenia,SVN,2004,20.64561566464097
Slovenia,SVN,2005,20.58223861142889
Slovenia,SVN,2006,20.36004802880893
Slovenia,SVN,2007,20.38709835293439
Slovenia,SVN,2008,20.13538001967619
Slovenia,SVN,2009,20.62291417408617
Slovenia,SVN,2010,20.73619214154709
Slovenia,SVN,2011,20.76452894193221
Slovenia,SVN,2012,21.07356692776849
Slovenia,SVN,2013,21.4068691993075
Slovenia,SVN,2014,21.16996717069911
Slovenia,SVN,2015,21.05658358700062
Slovenia,SVN,2016,20.63375744772979
Slovenia,SVN,2017,20.44039453891599
Slovenia,SVN,2018,20.98089875832192
Slovenia,SVN,2019,20.74377702166152
Spain,ESP,1980,26.27921810436964
Spain,ESP,1985,26.72589070007378
Spain,ESP,1990,24.84783063686511
Spain,ESP,1995,27.46075073992532
Spain,ESP,2000,26.266154757168756
Spain,ESP,2003,23.96860901925054
Spain,ESP,2004,24.852129023673537
Spain,ESP,2005,24.28939751329634
Spain,ESP,2006,24.91665280098973
Spain,ESP,2007,25.561560813557882
Spain,ESP,2008,25.590641333836274
Spain,ESP,2009,25.90166000176055
Spain,ESP,2010,26.04264446792641
Spain,ESP,2011,25.91922238959367
Spain,ESP,2012,25.78650715005823
Spain,ESP,2013,25.93064479332713
Spain,ESP,2014,26.00274350302838
Spain,ESP,2015,26.23365915221284
Spain,ESP,2016,25.847698480076758
Spain,ESP,2017,25.407196707418723
Spain,ESP,2018,25.33922796056168
Spain,ESP,2019,24.88082699918634
Sweden,SWE,1967,23.482519054636562
Sweden,SWE,1975,19.446172153942882
Sweden,SWE,1981,18.28802957562841
Sweden,SWE,1987,18.96387859507813
Sweden,SWE,1992,20.05359881615749
Sweden,SWE,1995,20.04370395836737
Sweden,SWE,2000,22.12029298144494
Sweden,SWE,2003,20.14189155656652
Sweden,SWE,2004,21.08206584610382
Sweden,SWE,2005,21.06243276224787
Sweden,SWE,2006,21.13876544286517
Sweden,SWE,2007,21.650395889632428
Sweden,SWE,2008,22.366650124898747
Sweden,SWE,2009,21.452570578088658
Sweden,SWE,2010,21.81374552894645
Sweden,SWE,2011,21.570138638964963
Sweden,SWE,2012,21.603870776931387
Sweden,SWE,2013,22.23128486374479
Sweden,SWE,2014,22.19175089612025
Sweden,SWE,2015,22.88693043176868
Sweden,SWE,2016,23.257128406115708
Sweden,SWE,2017,22.32860516508346
Sweden,SWE,2018,22.90932028021532
Sweden,SWE,2019,22.737750309485392
United Kingdom,GBR,1969,26.0685682901589
United Kingdom,GBR,1974,23.87547817148798
United Kingdom,GBR,1979,22.37805226976267
United Kingdom,GBR,1986,24.44325455203343
United Kingdom,GBR,1991,27.10761940255711
United Kingdom,GBR,1994,27.8402446512365
United Kingdom,GBR,1995,27.3036075390022
United Kingdom,GBR,1996,27.20929873586475
United Kingdom,GBR,1997,27.569290461717188
United Kingdom,GBR,1998,28.518970219686818
United Kingdom,GBR,1999,28.70197594554915
United Kingdom,GBR,2000,31.93804797390411
United Kingdom,GBR,2001,30.15570897509011
United Kingdom,GBR,2002,28.24761834885394
United Kingdom,GBR,2003,27.95418869080098
United Kingdom,GBR,2004,27.770798295191717
United Kingdom,GBR,2005,26.11041195187791
United Kingdom,GBR,2006,26.73674687301963
United Kingdom,GBR,2007,27.9685718904852
United Kingdom,GBR,2008,26.377383572581557
United Kingdom,GBR,2009,26.54540520111101
United Kingdom,GBR,2010,26.775684092592822
United Kingdom,GBR,2011,25.340383916250182
United Kingdom,GBR,2012,24.603051921367012
United Kingdom,GBR,2013,25.27369897446598
United Kingdom,GBR,2014,26.15239733374527
United Kingdom,GBR,2015,25.407354273194123
United Kingdom,GBR,2016,26.843224332779247
United Kingdom,GBR,2017,26.66813056140132
