Entity,Code,Year,2_1_GDPPC_Growth
abc,IRL,2003,604.246
abc,IRL,2004,2208.43
abc,IRL,2005,1650.29
abc,IRL,2006,1080.49
abc,IRL,2007,1163.01
abc,IRL,2008,-3311.31
abc,IRL,2009,-2927.56
abc,IRL,2010,545.609
abc,IRL,2011,288.797
abc,IRL,2012,-219.539
abc,IRL,2013,338.195
abc,IRL,2014,3670.96
abc,IRL,2015,12002.1
abc,IRL,2016,556.141
abc,IRL,2017,4855.6
abc,IRL,2018,5183.41
abc,IRL,2019,2535.38
abc,IRL,2020,3589.54
abc,ITA,1961,725.258
abc,ITA,1962,571.405
abc,ITA,1963,531.866
abc,ITA,1964,225.202
abc,ITA,1965,282.034
abc,ITA,1966,620.908
abc,ITA,1967,809.954
abc,ITA,1968,790.25
abc,ITA,1969,783.332
abc,ITA,1970,708.326
abc,ITA,1971,211.538
abc,ITA,1972,494.937
abc,ITA,1973,1052.63
abc,ITA,1974,841.875
abc,ITA,1975,-490.186
abc,ITA,1976,1176.53
abc,ITA,1977,404.406
abc,ITA,1978,558.152
abc,ITA,1979,1129.86
abc,ITA,1980,679.334
abc,ITA,1981,157.631
abc,ITA,1982,74.4707
abc,ITA,1983,249.457
abc,ITA,1984,713.479
abc,ITA,1985,636.459
abc,ITA,1986,674.393
abc,ITA,1987,773.125
abc,ITA,1988,1039.09
abc,ITA,1989,864.578
abc,ITA,1990,512.699
abc,ITA,1991,403.609
abc,ITA,1992,213.617
abc,ITA,1993,-256.738
abc,ITA,1994,593.289
abc,ITA,1995,820.68
abc,ITA,1996,362.396
abc,ITA,1997,526.289
abc,ITA,1998,537.137
abc,ITA,1999,493.705
abc,ITA,2000,1166.29
abc,ITA,2001,612.768
abc,ITA,2002,34.5312
abc,ITA,2003,-100.812
abc,ITA,2004,253.086
abc,ITA,2005,107.293
abc,ITA,2006,493.93
abc,ITA,2007,329.391
abc,ITA,2008,-550.73
abc,ITA,2009,-1915.09
abc,ITA,2010,442.902
abc,ITA,2011,171.283
abc,ITA,2012,-1044.9
abc,ITA,2013,-926.932
abc,ITA,2014,-277.709
abc,ITA,2015,262.469
abc,ITA,2016,443.26
abc,ITA,2017,558.58
abc,ITA,2018,349.254
abc,ITA,2019,497.514
abc,ITA,2020,-2731.07
abc,LVA,1996,186.405
abc,LVA,1997,511.954
abc,LVA,1998,416.297
abc,LVA,1999,218.828
abc,LVA,2000,422.335
abc,LVA,2001,518.64
abc,LVA,2002,604.138
abc,LVA,2003,743.749
abc,LVA,2004,813.771
abc,LVA,2005,1121.11
abc,LVA,2006,1368.31
abc,LVA,2007,1290.03
abc,LVA,2008,-292.811
abc,LVA,2009,-1653.04
abc,LVA,2010,-276.723
abc,LVA,2011,487.772
abc,LVA,2012,958.856
abc,LVA,2013,385.86
abc,LVA,2014,366.516
abc,LVA,2015,623.773
abc,LVA,2016,455.976
abc,LVA,2017,602.845
abc,LVA,2018,712.999
abc,LVA,2019,497.759
abc,LVA,2020,-472.104
abc,LTU,1996,294.24
abc,LTU,1997,476.635
abc,LTU,1998,471.229
abc,LTU,1999,-27.041
abc,LTU,2000,272.338
abc,LTU,2001,475.816
abc,LTU,2002,525.158
abc,LTU,2003,851.409
abc,LTU,2004,643.278
abc,LTU,2005,847.405
abc,LTU,2006,892.913
abc,LTU,2007,1325.52
abc,LTU,2008,440.476
abc,LTU,2009,-1725.61
abc,LTU,2010,407.161
abc,LTU,2011,939.771
abc,LTU,2012,631.971
abc,LTU,2013,583.642
abc,LTU,2014,587.666
abc,LTU,2015,413.965
abc,LTU,2016,546.287
abc,LTU,2017,851.744
abc,LTU,2018,781.59
abc,LTU,2019,797.67
abc,LTU,2020,-27.4414
abc,LUX,1961,736.984
abc,LUX,1962,32.7363
abc,LUX,1963,623.053
abc,LUX,1964,1793.63
abc,LUX,1965,-533.322
abc,LUX,1966,107.25
abc,LUX,1967,-31.7715
abc,LUX,1968,1106.97
abc,LUX,1969,2769.77
abc,LUX,1970,3388.31
abc,LUX,1971,601.176
abc,LUX,1972,1918.76
abc,LUX,1973,2709.05
abc,LUX,1974,1166.18
abc,LUX,1975,-3179.42
abc,LUX,1976,785.477
abc,LUX,1977,550.656
abc,LUX,1978,1557.91
abc,LUX,1979,876.652
abc,LUX,1980,205.086
abc,LUX,1981,-360.293
abc,LUX,1982,443.902
abc,LUX,1983,1267.3
abc,LUX,1984,2677.67
abc,LUX,1985,1211.93
abc,LUX,1986,4550.82
abc,LUX,1987,1721.61
abc,LUX,1988,4163.48
abc,LUX,1989,5099.83
abc,LUX,1990,2545.49
abc,LUX,1991,4752.9
abc,LUX,1992,336.961
abc,LUX,1993,1999.26
abc,LUX,1994,1766.95
abc,LUX,1995,12.9531
abc,LUX,1996,20.4141
abc,LUX,1997,3076.55
abc,LUX,1998,4177.19
abc,LUX,1999,5525.09
abc,LUX,2000,4832.38
abc,LUX,2001,1716
abc,LUX,2002,2025.87
abc,LUX,2003,1328.42
abc,LUX,2004,2694.57
abc,LUX,2005,929.477
abc,LUX,2006,4392.13
abc,LUX,2007,6803.7
abc,LUX,2008,-2323.09
abc,LUX,2009,-5520.44
abc,LUX,2010,1969.7
abc,LUX,2011,-1253.8
abc,LUX,2012,-802.508
abc,LUX,2013,851.211
abc,LUX,2014,244.984
abc,LUX,2015,-121.922
abc,LUX,2016,2889.44
abc,LUX,2017,-1209.33
abc,LUX,2018,59.7188
abc,LUX,2019,1368.19
abc,LUX,2020,-3690.77
abc,MLT,1971,76.4089
abc,MLT,1972,190.318
abc,MLT,1973,143.982
abc,MLT,1974,358.525
abc,MLT,1975,729.567
abc,MLT,1976,761.061
abc,MLT,1977,633.771
abc,MLT,1978,603.497
abc,MLT,1979,621.887
abc,MLT,1980,430.4
abc,MLT,1981,196.333
abc,MLT,1982,8.97168
abc,MLT,1983,-158.069
