Entity,Code,Year,2_1_GDPPC_Growth
abc,OMN,1997,973.475
abc,OMN,1998,482.539
abc,OMN,1999,38.1387
abc,OMN,2000,1155.83
abc,OMN,2001,671.172
abc,OMN,2002,-594.373
abc,OMN,2003,-985.66
abc,OMN,2004,-229.977
abc,OMN,2005,-37.4863
abc,OMN,2006,492.873
abc,OMN,2007,288.961
abc,OMN,2008,912.588
abc,OMN,2009,315.5
abc,OMN,2010,-818.078
abc,OMN,2011,-772.189
abc,OMN,2012,234.121
abc,OMN,2013,-448.023
abc,OMN,2014,-1043.4
abc,OMN,2015,-165.885
abc,OMN,2016,14.2969
abc,OMN,2017,-684.773
abc,OMN,2018,-380.902
abc,OMN,2019,-699.416
abc,OMN,2020,-950.908
abc,PAK,1961,13.3055
abc,PAK,1962,7.74194
abc,PAK,1963,24.082
abc,PAK,1964,20.7043
abc,PAK,1965,33.9034
abc,PAK,1966,14.7121
abc,PAK,1967,13.1221
abc,PAK,1968,22.3787
abc,PAK,1969,14.3889
abc,PAK,1970,45.624
abc,PAK,1971,-13.0163
abc,PAK,1972,-10.9
abc,PAK,1973,23.4517
abc,PAK,1974,3.87402
abc,PAK,1975,7.29303
abc,PAK,1976,12.4388
abc,PAK,1977,5.12012
abc,PAK,1978,29.2784
abc,PAK,1979,3.31299
abc,PAK,1980,43.5081
abc,PAK,1981,30.5628
abc,PAK,1982,21.8943
abc,PAK,1983,24.21
abc,PAK,1984,12.4529
abc,PAK,1985,32.2133
abc,PAK,1986,17.5248
abc,PAK,1987,26.0218
abc,PAK,1988,37.1661
abc,PAK,1989,16.3243
abc,PAK,1990,12.9139
abc,PAK,1991,19.347
abc,PAK,1992,44.7831
abc,PAK,1993,-9.90808
abc,PAK,1994,8.94525
abc,PAK,1995,20.4226
abc,PAK,1996,19.2106
abc,PAK,1997,-18.9429
abc,PAK,1998,-3.31714
abc,PAK,1999,8.3681
abc,PAK,2000,15.5692
abc,PAK,2001,10.0436
abc,PAK,2002,0.627686
abc,PAK,2003,34.6102
abc,PAK,2004,54.7428
abc,PAK,2005,46.3007
abc,PAK,2006,41.118
abc,PAK,2007,30.024
abc,PAK,2008,-7.15906
abc,PAK,2009,6.94739
abc,PAK,2010,-7.49438
abc,PAK,2011,6.86389
abc,PAK,2012,16.5618
abc,PAK,2013,28.0695
abc,PAK,2014,32.3519
abc,PAK,2015,33.9473
abc,PAK,2016,45.42
abc,PAK,2017,47.4457
abc,PAK,2018,53.3578
abc,PAK,2019,-13.2378
abc,PAK,2020,-42.8416
abc,PSE,1995,51.8889
abc,PSE,1996,-70.4321
abc,PSE,1997,204.379
abc,PSE,1998,266
abc,PSE,1999,143.666
abc,PSE,2000,-296.878
abc,PSE,2001,-282.543
abc,PSE,2002,-316.494
abc,PSE,2003,204.627
abc,PSE,2004,384.823
abc,PSE,2005,205.831
abc,PSE,2006,-91.9788
abc,PSE,2007,29.7168
abc,PSE,2008,116.002
abc,PSE,2009,154.03
abc,PSE,2010,87.0652
abc,PSE,2011,201.027
abc,PSE,2012,109.808
abc,PSE,2013,71.7148
abc,PSE,2014,-81.7817
abc,PSE,2015,44.3049
abc,PSE,2016,210.945
abc,PSE,2017,-20.1191
abc,PSE,2018,-45.1855
abc,PSE,2019,-39.3599
abc,PSE,2020,-460.547
abc,QAT,2001,50.8047
abc,QAT,2002,1626.3
abc,QAT,2003,-1466.47
abc,QAT,2004,4507.35
abc,QAT,2005,-3958.84
abc,QAT,2006,3898.27
abc,QAT,2007,-595.66
abc,QAT,2008,-127.605
abc,QAT,2009,-1708.23
abc,QAT,2010,3910.8
abc,QAT,2011,2127.67
abc,QAT,2012,-1895.67
abc,QAT,2013,-500.277
abc,QAT,2014,51.4727
abc,QAT,2015,254.211
abc,QAT,2016,-238.746
abc,QAT,2017,-2537.62
abc,QAT,2018,-504.949
abc,QAT,2019,-659.27
abc,QAT,2020,-3071.64
abc,SAU,1969,277.787
abc,SAU,1970,7319.46
abc,SAU,1971,3262.81
abc,SAU,1972,4257.9
abc,SAU,1973,5272.16
abc,SAU,1974,3612
abc,SAU,1975,-5060.44
abc,SAU,1976,3931.87
abc,SAU,1977,663.418
abc,SAU,1978,-3740.03
abc,SAU,1979,1980.21
abc,SAU,1980,-135.688
abc,SAU,1981,-1482.2
abc,SAU,1982,-8682.75
abc,SAU,1983,-5336
abc,SAU,1984,-2021.99
abc,SAU,1985,-2608.77
abc,SAU,1986,1720.89
abc,SAU,1987,-1840.08
abc,SAU,1988,1274.32
abc,SAU,1989,-703.65
abc,SAU,1990,1753.17
