Entity,Code,Year,5_0_BattleDeath
954,LKA,1993,2084
955,LKA,1994,712
956,LKA,1995,4971
957,LKA,1996,4097
958,LKA,1997,2902
959,LKA,1998,3830
960,LKA,1999,1948
961,LKA,2000,2569
962,LKA,2001,1162
963,LKA,2002,17
964,LKA,2003,33
965,LKA,2004,84
966,LKA,2005,130
967,LKA,2006,2173
968,LKA,2007,2564
969,LKA,2008,8453
970,LKA,2009,10418
971,LKA,2011,2
972,LKA,2013,5
973,LKA,2017,1
974,LKA,2019,255
975,LSO,1998,78
976,MAC,1999,6
977,MAC,2000,3
978,MAC,2001,72
979,MAR,1989,207
980,MAR,1991,19
981,MAR,2003,34
982,MAR,2020,2
983,MAR,2021,6
984,MDG,2002,79
985,MDG,2009,113
986,MDG,2012,15
987,MDG,2017,1
988,MDG,2019,3
989,MDG,2020,23
990,MEX,1989,3
991,MEX,1990,4
992,MEX,1992,16
993,MEX,1993,34
994,MEX,1994,153
995,MEX,1995,22
996,MEX,1996,43
997,MEX,1997,58
998,MEX,1998,7
999,MEX,2002,26
1000,MEX,2004,220
1001,MEX,2005,204
1002,MEX,2006,669
1003,MEX,2007,1943
1004,MEX,2008,2188
1005,MEX,2009,3598
1006,MEX,2010,3582
1007,MEX,2011,2893
1008,MEX,2012,1699
1009,MEX,2013,776
1010,MEX,2014,1646
1011,MEX,2015,1654
1012,MEX,2016,1320
1013,MEX,2017,1465
1014,MEX,2018,8803
1015,MEX,2019,11998
1016,MEX,2020,16441
1017,MEX,2021,18812
1018,MLI,1990,582
1019,MLI,1991,247
1020,MLI,1992,86
1021,MLI,1993,0
1022,MLI,1994,729
1023,MLI,1995,4
1024,MLI,1997,22
1025,MLI,1999,59
1026,MLI,2002,5
1027,MLI,2004,20
1028,MLI,2005,12
1029,MLI,2007,39
1030,MLI,2008,113
1031,MLI,2009,127
1032,MLI,2010,28
1033,MLI,2011,23
1034,MLI,2012,359
1035,MLI,2013,881
1036,MLI,2014,291
1037,MLI,2015,256
1038,MLI,2016,182
1039,MLI,2017,605
1040,MLI,2018,1281
1041,MLI,2019,1227
1042,MLI,2020,1509
1043,MLI,2021,1267
1044,MLT,1995,0
1045,MMR,1989,1033
1046,MMR,1990,796
1047,MMR,1991,1375
1048,MMR,1992,1749
1049,MMR,1993,145
1050,MMR,1994,794
1051,MMR,1995,1496
1052,MMR,1996,591
1053,MMR,1997,788
1054,MMR,1998,581
1055,MMR,1999,369
1056,MMR,2000,748
1057,MMR,2001,385
1058,MMR,2002,543
1059,MMR,2003,272
1060,MMR,2004,177
1061,MMR,2005,447
1062,MMR,2006,452
1063,MMR,2007,700
1064,MMR,2008,102
1065,MMR,2009,225
1066,MMR,2010,185
1067,MMR,2011,810
1068,MMR,2012,971
1069,MMR,2013,358
1070,MMR,2014,256
1071,MMR,2015,705
1072,MMR,2016,183
1073,MMR,2017,2395
1074,MMR,2018,122
1075,MMR,2019,587
1076,MMR,2020,196
1077,MMR,2021,1766
1078,MOZ,1989,1552
1079,MOZ,1990,1759
1080,MOZ,1991,1914
1081,MOZ,1992,521
1082,MOZ,1993,2
1083,MOZ,1994,2
1084,MOZ,1995,1
1085,MOZ,2004,1
1086,MOZ,2005,13
1087,MOZ,2010,7
1088,MOZ,2012,2
1089,MOZ,2013,45
1090,MOZ,2014,30
1091,MOZ,2015,3
1092,MOZ,2016,68
1093,MOZ,2017,3
1094,MOZ,2018,173
1095,MOZ,2019,597
1096,MOZ,2020,1623
1097,MOZ,2021,981
1098,MRT,1989,128
1099,MRT,1990,29
1100,MRT,1992,0
1101,MRT,2007,4
1102,MRT,2008,12
1103,MRT,2009,1
1104,MRT,2010,1
1105,MRT,2011,13
1106,MRT,2012,1
1107,MRT,2020,0
1108,MYS,2013,70
1109,MYS,2017,1
1110,NAM,1989,0
1111,NAM,1994,0
1112,NAM,1996,2
1113,NAM,1999,1
1114,NAM,2000,66
1115,NAM,2002,5
1116,NER,1989,170
1117,NER,1990,200
1118,NER,1991,40
1119,NER,1992,29
1120,NER,1993,6
1121,NER,1994,50
1122,NER,1995,67
1123,NER,1996,14
1124,NER,1997,81
1125,NER,1998,147
1126,NER,2004,4
1127,NER,2007,98
1128,NER,2008,56
1129,NER,2012,1
1130,NER,2013,31
1131,NER,2014,5
1132,NER,2015,533
1133,NER,2016,299
1134,NER,2017,255
1135,NER,2018,181
1136,NER,2019,434
1137,NER,2020,795
1138,NER,2021,1127
1139,NGA,1990,89
1140,NGA,1991,380
1141,NGA,1992,943
1142,NGA,1993,1185
1143,NGA,1994,90
1144,NGA,1995,1
1145,NGA,1996,87
1146,NGA,1997,595
1147,NGA,1998,357
1148,NGA,1999,3519
1149,NGA,2000,2104
1150,NGA,2001,2417
1151,NGA,2002,612
1152,NGA,2003,443
1153,NGA,2004,2118
1154,NGA,2005,216
1155,NGA,2006,225
1156,NGA,2007,153
1157,NGA,2008,425
1158,NGA,2009,530
1159,NGA,2010,980
1160,NGA,2011,1830
1161,NGA,2012,2016
1162,NGA,2013,3382
1163,NGA,2014,10338
1164,NGA,2015,9107
1165,NGA,2016,3902
1166,NGA,2017,3572
1167,NGA,2018,3225
1168,NGA,2019,2437
1169,NGA,2020,3046
1170,NGA,2021,3144
1171,NIC,1989,526
1172,NIC,1990,39
