Entity,Code,Year,3_1_Renewables_kWpc
Belgium,BEL,2006,866.60583
Belgium,BEL,2007,1014.2022
Belgium,BEL,2008,1275.9725
Belgium,BEL,2009,1693.5216
Belgium,BEL,2010,2243.2527
Belgium,BEL,2011,2656.233
Belgium,BEL,2012,3196.211
Belgium,BEL,2013,3451.6255
Belgium,BEL,2014,3582.6326
Belgium,BEL,2015,3973.33
Belgium,BEL,2016,4064.5344
Belgium,BEL,2017,4441.297
Belgium,BEL,2018,4702.7935
Belgium,BEL,2019,5182.6836
Belgium,BEL,2020,6239.0522
Belgium,BEL,2021,6068.9946
Belgium,BEL,2022,6240.0186
Brazil,BRA,1965,891.5651
Brazil,BRA,1966,948.7056
Brazil,BRA,1967,966.2828
Brazil,BRA,1968,985.56366
Brazil,BRA,1969,1028.3989
Brazil,BRA,1970,1275.7004
Brazil,BRA,1971,1349.1516
Brazil,BRA,1972,1546.081
Brazil,BRA,1973,1708.93
Brazil,BRA,1974,1884.4318
Brazil,BRA,1975,2021.4637
Brazil,BRA,1976,2254.3728
Brazil,BRA,1977,2513.7314
Brazil,BRA,1978,2739.7275
Brazil,BRA,1979,3066.5522
Brazil,BRA,1980,3323.2979
Brazil,BRA,1981,3279.3462
Brazil,BRA,1982,3506.6985
Brazil,BRA,1983,3764.5833
Brazil,BRA,1984,4076.945
Brazil,BRA,1985,4323.159
Brazil,BRA,1986,4433.2134
Brazil,BRA,1987,4425.7837
Brazil,BRA,1988,4636.257
Brazil,BRA,1989,4703.891
Brazil,BRA,1990,4627.2334
Brazil,BRA,1991,4772.6045
Brazil,BRA,1992,4809.208
Brazil,BRA,1993,4978.1416
Brazil,BRA,1994,5083.839
Brazil,BRA,1995,5232.874
Brazil,BRA,1996,5403.7944
Brazil,BRA,1997,5547.231
Brazil,BRA,1998,5681.611
Brazil,BRA,1999,5644.9316
Brazil,BRA,2000,5687.5312
Brazil,BRA,2001,4973.0483
Brazil,BRA,2002,5232.2524
Brazil,BRA,2003,5460.973
Brazil,BRA,2004,5659.872
Brazil,BRA,2005,5863.493
Brazil,BRA,2006,5944.4653
Brazil,BRA,2007,6422.022
Brazil,BRA,2008,6503.5464
Brazil,BRA,2009,6833.1626
Brazil,BRA,2010,7114.253
Brazil,BRA,2011,7306.2563
Brazil,BRA,2012,7073.814
Brazil,BRA,2013,6876.089
Brazil,BRA,2014,6804.8945
Brazil,BRA,2015,6861.86
Brazil,BRA,2016,7130.886
Brazil,BRA,2017,7083.7046
Brazil,BRA,2018,7513.406
Brazil,BRA,2019,7808.528
Brazil,BRA,2020,7752.6245
Brazil,BRA,2021,7482.67
Brazil,BRA,2022,8431.066
Bulgaria,BGR,1965,717.2736
Bulgaria,BGR,1966,715.3233
Bulgaria,BGR,1967,714.35455
Bulgaria,BGR,1968,457.305
Bulgaria,BGR,1969,638.78253
Bulgaria,BGR,1970,741.404
Bulgaria,BGR,1971,742.13196
Bulgaria,BGR,1972,712.04425
Bulgaria,BGR,1973,868.16345
Bulgaria,BGR,1974,698.07745
Bulgaria,BGR,1975,818.5891
Bulgaria,BGR,1976,981.18164
Bulgaria,BGR,1977,1167.8446
Bulgaria,BGR,1978,960.21674
Bulgaria,BGR,1979,1090.9425
Bulgaria,BGR,1980,1222.5573
Bulgaria,BGR,1981,1191.5675
Bulgaria,BGR,1982,1005.38763
Bulgaria,BGR,1983,1107.0005
Bulgaria,BGR,1984,1078.337
Bulgaria,BGR,1985,741.8106
Bulgaria,BGR,1986,773.4908
Bulgaria,BGR,1987,846.1637
Bulgaria,BGR,1988,868.7753
Bulgaria,BGR,1989,903.77826
Bulgaria,BGR,1990,633.3675
Bulgaria,BGR,1991,827.596
Bulgaria,BGR,1992,703.7247
Bulgaria,BGR,1993,666.8345
Bulgaria,BGR,1994,507.79388
Bulgaria,BGR,1995,807.12537
Bulgaria,BGR,1996,1027.3848
Bulgaria,BGR,1997,978.9136
Bulgaria,BGR,1998,1112.0665
Bulgaria,BGR,1999,997.3405
Bulgaria,BGR,2000,976.08435
Bulgaria,BGR,2001,635.09955
Bulgaria,BGR,2002,803.0195
Bulgaria,BGR,2003,1109.4668
Bulgaria,BGR,2004,1161.0414
Bulgaria,BGR,2005,1590.8624
Bulgaria,BGR,2006,1560.0916
Bulgaria,BGR,2007,1070.0146
Bulgaria,BGR,2008,1087.9677
Bulgaria,BGR,2009,1368.5043
Bulgaria,BGR,2010,2142.2617
Bulgaria,BGR,2011,1468.2059
Bulgaria,BGR,2012,2084.8916
Bulgaria,BGR,2013,2713.2139
Bulgaria,BGR,2014,2899.6929
Bulgaria,BGR,2015,3473.2515
Bulgaria,BGR,2016,2885.0955
Bulgaria,BGR,2017,2564.6946
Bulgaria,BGR,2018,3870.2913
Bulgaria,BGR,2019,3231.7188
Bulgaria,BGR,2020,3229.8647
Bulgaria,BGR,2021,4419.709
Bulgaria,BGR,2022,4317.78
Canada,CAN,1965,17735.2
Canada,CAN,1966,19314.93
Canada,CAN,1967,19404.691
Canada,CAN,1968,19426.168
Canada,CAN,1969,21176.963
Canada,CAN,1970,21815.654
Canada,CAN,1971,21947.201
Canada,CAN,1972,24169.7
Canada,CAN,1973,25579.465
Canada,CAN,1974,27307.045
Canada,CAN,1975,25877.21
Canada,CAN,1976,26924.87
Canada,CAN,1977,27593.346
Canada,CAN,1978,29181.084
Canada,CAN,1979,29982.791
Canada,CAN,1980,30466.98
Canada,CAN,1981,31941.863
Canada,CAN,1982,30640.59
Canada,CAN,1983,31271.69
Canada,CAN,1984,33338.027
Canada,CAN,1985,34949.47
Canada,CAN,1986,35399.68
Canada,CAN,1987,35647.203
Canada,CAN,1988,34197.844
Canada,CAN,1989,31931.652
Canada,CAN,1990,32069.76
Canada,CAN,1991,32886.316
Canada,CAN,1992,33385.55
Canada,CAN,1993,33777.543
Canada,CAN,1994,34089.242
Canada,CAN,1995,34510.137
Canada,CAN,1996,36249.36
Canada,CAN,1997,35382.293
Canada,CAN,1998,33455.71
Canada,CAN,1999,34561.805
Canada,CAN,2000,35386.59
Canada,CAN,2001,32493.29
Canada,CAN,2002,33660.78
Canada,CAN,2003,31899.857
Canada,CAN,2004,31677.885
Canada,CAN,2005,33281.12
Canada,CAN,2006,32022.26
Canada,CAN,2007,33001.152
Canada,CAN,2008,33302.668
Canada,CAN,2009,32326.29
Canada,CAN,2010,30724.25
Canada,CAN,2011,32501.496
Canada,CAN,2012,32654.436
Canada,CAN,2013,33052.715
Canada,CAN,2014,31920.246
Canada,CAN,2015,32529.217
Canada,CAN,2016,32722.955
Canada,CAN,2017,32902.316
Canada,CAN,2018,31798.229
Canada,CAN,2019,30953.215
Canada,CAN,2020,30988.668
Canada,CAN,2021,30462.479
Canada,CAN,2022,31283.535
Chile,CHL,1965,1299.8345
Chile,CHL,1966,1345.2523
Chile,CHL,1967,1349.0912
Chile,CHL,1968,1110.6427
Chile,CHL,1969,1232.2445
Chile,CHL,1970,1296.856
Chile,CHL,1971,1445.3428
Chile,CHL,1972,1687.9465
Chile,CHL,1973,1620.8186
Chile,CHL,1974,1810.902
Chile,CHL,1975,1790.6846
Chile,CHL,1976,1827.527
Chile,CHL,1977,1901.8132
Chile,CHL,1978,1951.1672
Chile,CHL,1979,1974.7936
Chile,CHL,1980,2058.4136
Chile,CHL,1981,2100.9978
Chile,CHL,1982,2269.4165
Chile,CHL,1983,2428.879
Chile,CHL,1984,2480.9175
Chile,CHL,1985,2706.0913
Chile,CHL,1986,2866.6726
Chile,CHL,1987,3050.6733
Chile,CHL,1988,2955.2988
Chile,CHL,1989,2452.6738
Chile,CHL,1990,2211.9517
Chile,CHL,1991,3107.1895
Chile,CHL,1992,3995.3022
Chile,CHL,1993,4036.0212
Chile,CHL,1994,3935.5703
Chile,CHL,1995,4192.8433
Chile,CHL,1996,3793.4216
Chile,CHL,1997,4158.113
Chile,CHL,1998,3389.565
Chile,CHL,1999,2950.3496
Chile,CHL,2000,3961.202
Chile,CHL,2001,4450.168
Chile,CHL,2002,4676.036
Chile,CHL,2003,4475.823
Chile,CHL,2004,4178.0654
Chile,CHL,2005,4881.9653
Chile,CHL,2006,5195.802
Chile,CHL,2007,4352.228
Chile,CHL,2008,4786.5396
Chile,CHL,2009,4833.6
Chile,CHL,2010,4245.514
Chile,CHL,2011,4150.789
Chile,CHL,2012,4353.8335
Chile,CHL,2013,4441.646
Chile,CHL,2014,4721.6494
Chile,CHL,2015,5077.6196
Chile,CHL,2016,4842.0093
Chile,CHL,2017,5471.8364
Chile,CHL,2018,6093.088
Chile,CHL,2019,5841.1035
Chile,CHL,2020,5928.4907
Chile,CHL,2021,5958.0664
Chile,CHL,2022,7124.9253
China,CHN,1965,90.26859
China,CHN,1966,89.495544
China,CHN,1967,75.31707
China,CHN,1968,86.66061
China,CHN,1969,85.818375
China,CHN,1970,86.41278
China,CHN,1971,101.9526
China,CHN,1972,112.924576
China,CHN,1973,123.514275
China,CHN,1974,137.0211
China,CHN,1975,140.91653
China,CHN,1976,140.61176
China,CHN,1977,144.72818
China,CHN,1978,133.8227
China,CHN,1979,148.28004
China,CHN,1980,175.2486
China,CHN,1981,194.25414
China,CHN,1982,217.11359
China,CHN,1983,248.2776
China,CHN,1984,245.85036
China,CHN,1985,257.6671
China,CHN,1986,259.40524
China,CHN,1987,269.6542
China,CHN,1988,289.28363
China,CHN,1989,308.64734
China,CHN,1990,325.01965
China,CHN,1991,315.14822
China,CHN,1992,327.04276
China,CHN,1993,376.28372
China,CHN,1994,412.21762
China,CHN,1995,472.0031
China,CHN,1996,456.7167
China,CHN,1997,475.6653
China,CHN,1998,478.8812
China,CHN,1999,470.54813
China,CHN,2000,528.07043
China,CHN,2001,648.4804
China,CHN,2002,665.86285
China,CHN,2003,650.6222
China,CHN,2004,799.40796
China,CHN,2005,895.05774
China,CHN,2006,979.0929
China,CHN,2007,1083.9487
China,CHN,2008,1421.802
China,CHN,2009,1406.6
China,CHN,2010,1641.2845
China,CHN,2011,1635.6511
China,CHN,2012,2034.3783
China,CHN,2013,2203.7427
China,CHN,2014,2564.515
China,CHN,2015,2730.9412
China,CHN,2016,2950.9333
China,CHN,2017,3194.3936
China,CHN,2018,3486.7085
China,CHN,2019,3800.2761
China,CHN,2020,4096.8643
China,CHN,2021,4580.3896
China,CHN,2022,4974.1704
Colombia,COL,1965,573.4036
Colombia,COL,1966,618.8964
Colombia,COL,1967,670.9573
Colombia,COL,1968,727.7727
Colombia,COL,1969,788.5357
Colombia,COL,1970,856.143
Colombia,COL,1971,887.34326
Colombia,COL,1972,960.77185
Colombia,COL,1973,1022.35516
Colombia,COL,1974,1135.3912
Colombia,COL,1975,1255.425
Colombia,COL,1976,1291.5249
Colombia,COL,1977,1289.4327
Colombia,COL,1978,1453.8987
Colombia,COL,1979,1559.741
Colombia,COL,1980,1659.687
Colombia,COL,1981,1600.0602
Colombia,COL,1982,1671.1277
Colombia,COL,1983,1646.9178
Colombia,COL,1984,1795.0221
Colombia,COL,1985,1888.4607
Colombia,COL,1986,2133.852
Colombia,COL,1987,2274.2273
Colombia,COL,1988,2347.599
