Entity,Code,Year,GDP per capita growth (annual %)
Myanmar,MMR,1968,0.4012662172317505
Myanmar,MMR,1969,4.923221588134766
Myanmar,MMR,1970,1.7307651042938232
Myanmar,MMR,1971,2.1298115253448486
Myanmar,MMR,1972,0.8934280276298523
Myanmar,MMR,1973,-1.5878627300262451
Myanmar,MMR,1974,-0.15145479142665863
Myanmar,MMR,1975,2.362339496612549
Myanmar,MMR,1976,2.7750227451324463
Myanmar,MMR,1977,3.6562726497650146
Myanmar,MMR,1978,3.9008097648620605
Myanmar,MMR,1979,3.5228867530822754
Myanmar,MMR,1980,4.290495872497559
Myanmar,MMR,1981,4.813444137573242
Myanmar,MMR,1982,3.720993995666504
Myanmar,MMR,1983,2.801664113998413
Myanmar,MMR,1984,2.560615301132202
Myanmar,MMR,1985,1.855072259902954
Myanmar,MMR,1986,-1.0109935998916626
Myanmar,MMR,1987,-4.2697882652282715
Myanmar,MMR,1988,-9.17434024810791
Myanmar,MMR,1989,-5.798936367034912
Myanmar,MMR,1990,1.7400875091552734
Myanmar,MMR,1991,-0.2798560559749603
Myanmar,MMR,1992,3.227886915206909
Myanmar,MMR,1993,6.5398054122924805
Myanmar,MMR,1994,5.56528902053833
Myanmar,MMR,1995,5.938117504119873
Myanmar,MMR,1996,5.365428447723389
Myanmar,MMR,1997,4.680686950683594
Myanmar,MMR,1998,4.407693386077881
Myanmar,MMR,1999,7.139461040496826
Myanmar,MMR,2000,11.122142791748047
Myanmar,MMR,2001,11.264058113098145
Myanmar,MMR,2002,10.585963249206543
Myanmar,MMR,2003,11.937994956970215
Myanmar,MMR,2004,12.722359657287598
Myanmar,MMR,2005,12.67269229888916
Myanmar,MMR,2006,12.499907493591309
Myanmar,MMR,2007,11.774016380310059
Myanmar,MMR,2008,10.388723373413086
Myanmar,MMR,2009,9.705151557922363
Myanmar,MMR,2010,9.306946754455566
Myanmar,MMR,2011,6.698146820068359
Myanmar,MMR,2012,5.609467029571533
Myanmar,MMR,2013,6.985661029815674
Myanmar,MMR,2014,7.313152313232422
Myanmar,MMR,2015,2.4932847023010254
Myanmar,MMR,2016,9.748478889465332
Myanmar,MMR,2017,5.081834316253662
Myanmar,MMR,2018,5.759520053863525
Myanmar,MMR,2019,6.084612846374512
Myanmar,MMR,2020,2.482839345932007
Nepal,NPL,1961,0.298340767621994
Nepal,NPL,1962,0.2899463176727295
Nepal,NPL,1963,0.24750329554080963
Nepal,NPL,1964,5.744176387786865
Nepal,NPL,1965,-2.9044742584228516
Nepal,NPL,1966,5.1281633377075195
Nepal,NPL,1967,-3.3911290168762207
Nepal,NPL,1968,-1.2415282726287842
Nepal,NPL,1969,2.426736354827881
Nepal,NPL,1970,0.5373982191085815
Nepal,NPL,1971,-3.194535732269287
Nepal,NPL,1972,0.9940221309661865
Nepal,NPL,1973,-2.5600762367248535
Nepal,NPL,1974,4.073874473571777
Nepal,NPL,1975,-0.7291458249092102
Nepal,NPL,1976,2.1225366592407227
Nepal,NPL,1977,0.7473599314689636
Nepal,NPL,1978,2.0835671424865723
Nepal,NPL,1979,0.07221785932779312
Nepal,NPL,1980,-4.527659893035889
Nepal,NPL,1981,5.868617534637451
Nepal,NPL,1982,1.3896443843841553
Nepal,NPL,1983,-5.214214324951172
Nepal,NPL,1984,7.172557353973389
Nepal,NPL,1985,3.7471065521240234
Nepal,NPL,1986,2.252534866333008
Nepal,NPL,1987,-0.5203272104263306
Nepal,NPL,1988,5.323884963989258
Nepal,NPL,1989,1.9298933744430542
Nepal,NPL,1990,2.0865612030029297
Nepal,NPL,1991,3.6273386478424072
Nepal,NPL,1992,1.324349045753479
Nepal,NPL,1993,1.0539032220840454
Nepal,NPL,1994,5.38252067565918
Nepal,NPL,1995,0.9020105004310608
Nepal,NPL,1996,2.8761720657348633
Nepal,NPL,1997,2.748915433883667
Nepal,NPL,1998,0.902692437171936
Nepal,NPL,1999,2.4047226905822754
Nepal,NPL,2000,4.287565231323242
Nepal,NPL,2001,3.0522425174713135
Nepal,NPL,2002,-1.412545084953308
Nepal,NPL,2003,2.4727213382720947
Nepal,NPL,2004,3.2887604236602783
Nepal,NPL,2005,2.172199010848999
Nepal,NPL,2006,2.087017297744751
Nepal,NPL,2007,2.1733341217041016
Nepal,NPL,2008,4.974640846252441
Nepal,NPL,2009,3.689497232437134
Nepal,NPL,2010,4.313246726989746
Nepal,NPL,2011,3.3146896362304688
Nepal,NPL,2012,4.639947414398193
Nepal,NPL,2013,3.8034775257110596
Nepal,NPL,2014,6.054086685180664
Nepal,NPL,2015,3.55633544921875
Nepal,NPL,2016,-0.48193198442459106
Nepal,NPL,2017,7.521029949188232
Nepal,NPL,2018,5.848711013793945
