Entity,Code,Year,3_0_Energy_intensity
Myanmar,MMR,2014,0.9805563320527078
Myanmar,MMR,2015,0.9472230038418771
Myanmar,MMR,2016,0.9583341132454873
Myanmar,MMR,2017,1.0333341679472925
Myanmar,MMR,2018,0.9777785547018052
Myanmar,MMR,2019,0.9944452188072206
Nepal,NPL,2000,1.8972237188072207
Nepal,NPL,2001,1.869445945298195
Nepal,NPL,2002,1.8861126094036105
Nepal,NPL,2003,1.8666681017198565
Nepal,NPL,2004,1.8083348435783388
Nepal,NPL,2005,1.8083348435783388
Nepal,NPL,2006,1.7472236094036104
Nepal,NPL,2007,1.72500139059639
Nepal,NPL,2008,1.680556952981949
Nepal,NPL,2009,1.65555689059639
Nepal,NPL,2010,1.6250012735090258
Nepal,NPL,2011,1.6277791170873643
Nepal,NPL,2012,1.497223382912636
Nepal,NPL,2013,1.6277791170873643
Nepal,NPL,2014,1.5888901017198565
Nepal,NPL,2015,1.5194456017198563
Nepal,NPL,2016,1.647223492316246
Nepal,NPL,2017,1.6000013435783387
Nepal,NPL,2018,1.5777789923162462
Nepal,NPL,2019,1.452778945298195
Oman,OMN,2000,1.1361120623855592
Oman,OMN,2001,1.105556445298195
Oman,OMN,2002,1.188889898280144
Oman,OMN,2003,1.269445507683754
Oman,OMN,2004,1.3083343905963898
Oman,OMN,2005,1.4388899923162461
Oman,OMN,2006,2.127779437614441
Oman,OMN,2007,2.3333350940361024
Oman,OMN,2008,1.8972237188072207
Oman,OMN,2009,1.8222236641054155
Oman,OMN,2010,2.097223952981949
Oman,OMN,2011,2.4222242341747284
Oman,OMN,2012,2.3972241717891696
Oman,OMN,2013,2.336112937614441
Oman,OMN,2014,2.3000017658252716
Oman,OMN,2015,2.28055739059639
Oman,OMN,2016,2.1000016641054153
Oman,OMN,2017,2.241668375228882
Oman,OMN,2018,2.1638906094036106
Oman,OMN,2019,2.008334945298195
Philippines,PHL,2000,1.3111121017198564
Philippines,PHL,2001,1.2111121170873642
Philippines,PHL,2002,1.1833343435783388
Philippines,PHL,2003,1.1277786641054155
Philippines,PHL,2004,1.0500008320527077
Philippines,PHL,2005,1.0277786132454874
Philippines,PHL,2006,0.9694452226490975
Philippines,PHL,2007,0.9250007188072206
